time,pages_unshared,pages_saved,pages_shared,full_scans
1051936,64590,197545,9,0
1056921,64590,197545,9,0
1061906,64505,197630,9,0
1066891,64231,197904,9,0
1071876,64231,197904,9,0
1076861,64231,197904,9,0
1081846,64231,197904,9,0
1086831,64231,197904,9,0
1091816,63954,198181,9,0
1096801,63954,198181,9,0
1101786,63954,198181,9,0
1106771,63954,198181,9,0
1111756,63457,198678,9,0
1116741,63444,198691,9,0
1121726,63444,198691,9,0
1126711,63444,198691,9,0
1131696,63444,198691,9,0
1136681,63444,198691,9,0
1141666,63444,198691,9,0
1146651,62977,199158,9,0
1151636,62939,199196,9,0
1156621,62939,199196,9,0
1161606,62939,199196,9,0
1166591,62939,199196,9,0
1171576,62939,199196,9,0
1176561,62822,199313,9,0
1181546,62822,199313,9,0
1186531,62822,199313,9,0
1191516,62822,199313,9,0
1196501,62594,199541,9,0
1201486,62594,199541,9,0
1206471,62581,199554,9,0
1211456,62581,199554,9,0
1216441,62581,199554,9,0
1221426,62331,199803,10,0
1226411,62331,199803,10,0
1231396,62331,199803,10,0
1236381,62331,199803,10,0
1241366,61526,200290,328,0
1241492,61513,200303,328,0
